,title,comment,score
0,good service,good service,5
1,great service,great service quality excellent,5
2,excellent service need,need talk parents heavy flood found rebtel affordable good quality sound without distraction disconnection rebtel indeed helped talk freely without excessive bill lump thanks rebtel keep good work,5
3,using rebtel some…,using rebtel months really like services calling rate also cheap comparing calling local network,5
4,veery good calling app,veery good calling app,5
5,good cheap,good cheap using long time always work cheaper expect,5
6,really good,really good,5
7,excellent,excellent,5
8,cool app,cool app need features,4
9,rebtel made possible keep constant touch friends family,new immigrant canada challenge staying touch people nigeria different reasons mainly cost mobilegsm calls cases poor connectivity voip calls rebtel solved issues easy access web app options offers various payment options voice quality great provides constant reminders usage make calls whether contact internet access need say try rebtel thank later,5
10,great product,great product easy use app good quality calls,5
11,really easy use a…,really easy use good price quality provide recommend,5
12,absolutely great app fast customer…,absolutely great app fast customer support service,4
13,pain,pain,1
14,highly recommend rebtelwhenever…,highly recommend rebtelwhenever relativesfriends need call overseas without thinking option five star,5
15,feel rebtel,using rebtel service 10 years experience good little pricy country frequently calling ethiopia trustworthy responsive unreasonable charges made call made connection made hope improved time,4
16,price call rate increasing every…,price call rate increasing every year services call quality decreasing drastically,1
17,using rebtel,using rebtel initially connection good service worth money couple days bad experiences today worst keep adding money 10dollars account call even last 10min stated credit left add 10dollars stated call last 34min real dont know think thinking must good services therevery disappointed end ending call early keeps disconnecting call,1
18,easy nice way make interrnational…,easy nice way make interrnational calls,5
19,wonderful experience worthy of…,wonderful experience worthy praise,5
20,excellent program call cells and…,excellent program call cells landlines around worldhighly useful global citizens digital nomads connection generally stable value offered money good recommend,5
21,best best,best best worldwide,5
22,rebtel help keep connected my…,rebtel help keep connected family communication easy everyday like,5
23,really annoyed regarding support,really annoyed regarding support struggling add one phone number account last days trying resolve issue via rabtel support rabtel support responding via email much frustrated,2
24,rebtel fantastic app making…,rebtel fantastic app making international calls enjoy quality calls 247 provide affordable pricing though,5
25,guys professional,guys professional thank,5
26,fast setup,fast setup clear audio easy use loving,5
